embedding_name,classifier,module_name,MCC,AUC_ROC
Word2vec(Skip-Gram),LSTM,command,0.91,0.948315789
Word2vec(Skip-Gram),LSTM,set_fact,0.96,0.896
Word2vec(Skip-Gram),LSTM,template,0.95,0.974358974
Word2vec(Skip-Gram),LSTM,file,0.9,0.924324324
Word2vec(Skip-Gram),LSTM,gather_facts,0.92,0.867126437
Word2vec(Skip-Gram),LSTM,copy,0.92,0.90989011
Word2vec(Skip-Gram),LSTM,service,0.89,0.904751381
Word2vec(Skip-Gram),LSTM,debug,0.92,0.782
Word2vec(Skip-Gram),LSTM,fail,0.5,0.662162162
Doc2vec(PV-DBOW),RF,shell,0.67,0.92
Doc2vec(PV-DBOW),RF,command,0.584,0.882
Doc2vec(PV-DBOW),RF,set_fact,0.475,0.946
Doc2vec(PV-DBOW),RF,template,0.545,0.91
Doc2vec(PV-DBOW),RF,file,0.637,0.935
Doc2vec(PV-DBOW),RF,gather_facts,0.795,0.965
Doc2vec(PV-DBOW),RF,copy,0.566,0.956
Doc2vec(PV-DBOW),RF,service,0.613,0.932
Doc2vec(PV-DBOW),RF,debug,0.829,0.97
Doc2vec(PV-DBOW),RF,fail,0.482,0.918
Doc2vec(PV-DBOW),SVM,shell,0.691,0.938
Doc2vec(PV-DBOW),SVM,command,0.468,0.853
Doc2vec(PV-DBOW),SVM,set_fact,0.594,0.893
Doc2vec(PV-DBOW),SVM,template,0.561,0.898
Doc2vec(PV-DBOW),SVM,file,0.639,0.91
Doc2vec(PV-DBOW),SVM,gather_facts,0.868,0.972
Doc2vec(PV-DBOW),SVM,copy,0.665,0.909
Doc2vec(PV-DBOW),SVM,service,0.767,0.972
Doc2vec(PV-DBOW),SVM,debug,0.87,0.985
Doc2vec(PV-DBOW),SVM,fail,0.552,0.899
Doc2vec(PV-DBOW),XGBoost,shell,0.676,0.831
Doc2vec(PV-DBOW),XGBoost,command,0.564,0.779
Doc2vec(PV-DBOW),XGBoost,set_fact,0.63,0.815
Doc2vec(PV-DBOW),XGBoost,template,0.636,0.818
Doc2vec(PV-DBOW),XGBoost,file,0.718,0.859
Doc2vec(PV-DBOW),XGBoost,gather_facts,0.763,0.881
Doc2vec(PV-DBOW),XGBoost,copy,0.726,0.862
Doc2vec(PV-DBOW),XGBoost,service,0.7,0.852
Doc2vec(PV-DBOW),XGBoost,debug,0.846,0.923
Doc2vec(PV-DBOW),XGBoost,fail,0.599,0.799
Doc2vec(PV-DBOW),MLP,shell,0.717,0.881
Doc2vec(PV-DBOW),MLP,command,0.576,0.837
Doc2vec(PV-DBOW),MLP,set_fact,0.731,0.923
Doc2vec(PV-DBOW),MLP,template,0.706,0.928
Doc2vec(PV-DBOW),MLP,file,0.715,0.908
Doc2vec(PV-DBOW),MLP,gather_facts,0.927,0.981
Doc2vec(PV-DBOW),MLP,copy,0.781,0.936
Doc2vec(PV-DBOW),MLP,service,0.816,0.968
Doc2vec(PV-DBOW),MLP,debug,0.897,0.960
Doc2vec(PV-DBOW),MLP,fail,0.785,0.946
Doc2vec(PV-DBOW),CNN,shell,0.523839158,0.737843329
Doc2vec(PV-DBOW),CNN,command,0.544715253,0.77264239
Doc2vec(PV-DBOW),CNN,set_fact,0.650364676,0.821931963
Doc2vec(PV-DBOW),CNN,template,0.682335567,0.837048666
Doc2vec(PV-DBOW),CNN,file,0.678195269,0.839148936
Doc2vec(PV-DBOW),CNN,gather_facts,0.124518993,0.558441846
Doc2vec(PV-DBOW),CNN,copy,0.547466404,0.773629965
Doc2vec(PV-DBOW),CNN,service,0.829424739,0.91317734
